"","Dim 1","Dim 2"
"neuroscience",-0.126329499603134,-0.289164554057255
"neurosciencebased",0.139871536831087,-0.357271998260998
"neurosciencediscussion",-0.243963312973163,-0.371449027852897
"neuroscienceinspired",0.0352880453430855,-0.525402052184358
"neurosciences",0.184779101907852,0.402476195326339
"neuroscientific",0.0414074024327507,-0.0815416298052527
"neuroscientists",0.135102514264335,-0.0343687935377385
"nonneuroscience",-0.0645330119719166,-0.315993653202791
"neuromarketers",-0.00645571626834992,0.133151821156685
"neuromarketing",0.110181798361555,-0.0224823901483389
"neuromarketings",0.321057064150922,-0.124470124155348
"psychophysiologicalneuromarketing",-12.4817377485521,1.86305410958488
"businessconsumer",-0.240594390880546,-0.395095571630698
"consumer",-0.326002249681707,-0.179329762122842
"consumergrade",0.318698049695304,-0.186700062319076
"consumerpreferred",-0.199603325389397,-0.486308206112332
"consumers",0.0342805039343586,-0.172457002403543
"consumerstourists",0.031960536190884,-0.360940699505241
"consumerstyle",-0.00848843106403668,-0.181883762881926
"individualconsumer",-0.00848843106403671,-0.181883762881926
"nonconsumer",0.125167028810298,-0.51131153308569
"producerconsumer",-0.161237719570873,-0.189037271390732
"performance",0.153399588665614,-0.0509568532965367
"performances",0.588344873946712,1.64180878293535
"outcome",0.0400101268723153,-0.198577857170825
"outcomes",0.0748517076322947,-0.115751385242159
"produce",-0.047898428734285,-0.231024337227221
"produced",0.56568838731957,3.42896795866766
"producer",-0.0702946699898532,-0.119356001945784
"producerconsumer.1",-0.161237719570873,-0.189037271390732
"product",0.045800868075715,-0.179556398661104
"productbenefit",0.348532393700064,-0.268855878928973
"production",0.130947609670757,0.0296539392268657
"productive",-0.131751126639811,-0.28867800662955
"products",0.0605890902686052,-0.128634224358481
"productservice",0.171713520858983,-0.154622636947888
"productspecific",0.207542186916054,-0.341002215467561
"reproduced",0.203061205969813,-0.259054676149334
"reproducibility",0.552410335523431,0.320403144869233
"reproduction",-0.0223436068951359,0.107362463718157
"advertisement",0.00628115093376468,-0.11001121980366
"advertisements",0.151451555469045,-0.168375000664873
"advertisers",0.069295184727274,-0.333976909787318
"advertising",0.0718484089579681,-0.0704665754380533
"advertisingmarketing",0.177066771205148,0.0249599179032856
"neuroadvertisiment",0.784993322252166,2.86950132685367
"neuroadvertising",0.0902463072546883,-0.137177880581425
"communicate",0.0814372636413231,-0.264987212179619
"communicating",0.118556622659884,-0.240735552141918
"communication",0.14548751442599,-0.0300348931488883
"communications",0.00015867589694637,-0.120597066692666
"communicative",0.0327865640492269,0.309158856857734
"communities",0.0635229377607933,-0.336448499454595
"community",0.251758919963084,0.0808365461358867
"neurocommunication",-0.0358357878148769,-0.280625749711385
"serviceâ.communication",0.36809227430256,0.289263912647776
"telecommunications",1.8219655316884,1.35785208111643
"sale",0.185913120494998,0.206441472438377
"sales",0.102028699363248,0.0557554216359925
"manage",0.301117543938686,0.0279673172686707
"managed",-0.26195870044945,-0.205420140330372
"management",0.12902361145197,-0.0378062505673728
"manager",-0.198139632890916,-0.576364706579056
"managerial",0.122393443377816,-0.0229211703662094
"managers",-0.0186474911282145,-0.119971785473687
"manages",0.357379063788969,-0.220695081340338
"neuromanagement",-0.279293043290469,-0.514339864431936
"designmethodologyapproach",-0.0890076529206814,-0.0879349646240963
"method",0.0763198537196725,-0.129044914872292
"methodical",0.0509072112741959,0.553067235477014
"methodological",0.00366886837648349,-0.194870924191915
"methodologies",0.169915825030067,-0.252173325567632
"methodology",-0.199016483034573,0.0459756204430657
"methods",-0.157369352787683,-0.0776305494878725
"multimethodological",0.284617830491614,-0.0753423922989278
"theorycontextcharacteristicsmethodology",-0.108190132008022,-0.446746437621596
"approach",0.210629846994232,-0.0587414621535827
"approaches",0.354127167626235,0.093869656709864
"approaching",0.306182696405754,-0.157236094483244
"approachwithdrawal",0.15971849206686,1.14097916007235
"appropriate",0.000593326459467196,-0.0842157167558542
"appropriately",0.321057064150924,-0.124470124155356
"appropriateness",-0.00942177638886187,-0.404252320173103
"approximately",0.102322824130655,-0.383195140637284
"approximation",0.278161543792834,0.0940640499544134
"designmethodologyapproach.1",-0.0890076529206814,-0.0879349646240963
"inappropriate",0.149719756182707,0.170830923919244
"guide",0.0891112213005799,-0.132147934775701
"guided",-0.166511050135472,-0.656480698599927
"guideline",0.0564844538047538,-0.159226976319164
"guidelines",-0.0708803660864561,-0.304641259272234
"policies",-0.0249880749550245,-0.20533691065943
"policy",-0.0125908408377327,-0.199978086385334
"policymakers",0.0803547168200214,-0.129718008730434
"trans",-0.198139632890916,-0.576364706579056
"transaction",0.233335775510537,0.0675149265310643
"transcends",0.441932378676377,0.120066369289608
"transcranial",-0.153383016783037,-0.434840083142471
"transfer",0.242197849372918,0.185802607256048
"transferable",-0.108190132008022,-0.446746437621596
"transferred",-0.0124029699151245,-0.302324060327875
"transfers",0.125473952752452,0.788130335717403
"transform",0.0942957903228595,-0.159388474366935
"transformation",0.179570519033851,0.53844024176043
"transformative",0.0555691045690535,0.241464368092517
"transformed",0.20515270912888,-0.120530404778594
"transforming",0.180877039429782,-0.199478247976012
"translating",-0.0183139204580445,-0.187809736922224
"translational",0.0757806587609542,-0.345885360843147
"transmission",0.229376474202528,-0.162951091418328
"transmit",0.122457852041788,-0.155220732207491
"transparency",0.180777733118897,-0.294613394513443
"account",0.251674375179479,0.281159354744242
"accountability",0.0170324091713415,-0.143717362971362
"accounts",-0.000330004113286367,-0.0612076754243088
"audience",-0.172936097421013,-0.164551324898443
"audiences",-0.154966339019232,-0.199395276915429
"audio",0.295723954018511,0.00512611518349975
"audiovideo",0.295723954018511,0.00512611518349975
"audiovisual",0.0797253922790214,-0.134824038716239
"auditory",0.125963238561829,-0.275889231548241
"conductinformed",0.239109532584922,0.000471280302765143
"infodemiology",0.0507629328144117,0.0966823144012837
"inform",0.0220489547216195,-0.238001103967202
"informa",-0.0365131876372645,-0.240712965918586
"informacao",-0.30667159542754,0.0861903380258391
"informacion",-0.44109081748882,0.825318654604709
"information",0.104702140074041,-0.0708374797095058
"informational",0.186648287373974,-0.214698364761026
"informations",-0.0864482693493021,-0.218630743509542
"informative",0.0306616837371721,0.131298195442393
"informed",0.17002646876831,-0.183152153505143
"informing",-0.0547437117121128,-0.1791384131283
"neuroinformatics",0.300955637083104,-0.144888856122321
"neurophysiologicallyinformed",-0.351699535011573,-0.232316329830673
"ecosystem",0.0716647723490315,0.892787409185526
"system",0.0972039938121085,-0.0306841028713417
"systematic",-0.082642921026352,0.163083322478899
"systematically",0.117281956592256,-0.183625087388724
"systemic",0.0247641810478837,-0.160540850593079
"systems",0.221749250470029,0.00213484475079086
"biotechnology",0.413277636996455,0.332401535438008
"biotechnosocial",1.94986188481926,15.5191131596898
"hightech",0.182952238986281,1.75918124492163
"nanotechnologies",0.271284802671855,0.119371486359648
"neurotechnological",1.70870723682395,13.9745284423761
"neurotechnologies",1.08099669690092,9.02987419992898
"neurotechnology",0.528347589423051,4.70165432213749
"nontechnical",-0.0394718479990074,-0.288931343117197
"tech",-0.198139632890916,-0.576364706579056
"technical",0.156248805561212,0.360555268108315
"technique",0.113061896265723,-0.137658561803301
"techniques",0.0932168710585076,-0.133803395380403
"technological",0.0851002999907959,0.238005734896883
"technologies",0.211890779489353,0.422111195863905
"technologists",-0.0791874122106964,-0.195218307905349
"technology",0.103576550561156,0.191825566637723
"crossdataset",0.268107143887193,0.201768923366384
"data",-0.183302910420871,-0.0914426430369291
"database",0.0729124613816506,-0.0493344324726558
"databases",0.282510778195748,0.3613715691374
"datadriven",0.183723360544513,-0.135455787734631
"datamining",0.142570117935375,0.0483756861508902
"dataset",0.168210055364161,-0.0382445137500632
"datasets",0.237336468434702,0.0313279772295009
"metadata",-0.030045633265502,0.0775315595982145
"seogdata",-0.150635292364812,-0.0309881960483296
"singledataset",0.25787537163937,0.0558963545811327
"analyse",0.0564594760108276,-0.226815048620525
"analysed",0.0157365403478661,-0.130108085099816
"analyses",0.170349054884235,-0.0782753867091281
"analysing",-0.143918252619403,-0.139044281029982
"analysis",-0.223967315271524,0.12325559357073
"analytic",0.155117030347103,-0.318417883496019
"analytical",0.189297863049141,-0.0146700661980995
"analytics",-0.114407645345038,-0.156453514301195
"analyze",0.0519521640793357,-0.124836575146132
"analyzed",-1.58452652411627,0.150640744552802
"analyzes",0.192682519867545,-0.124013595965583
"analyzing",0.0234468003260186,-0.116100258790762
"metaanalyses",-0.0491773623446124,-0.196199778197702
"conscience",0.0468229598917958,0.0895905608902423
"inderscience",0.104445036911368,-0.28628402390022
"neuroscience.1",-0.126329499603134,-0.289164554057254
"neurosciencebased.1",0.139871536831095,-0.357271998260998
"neurosciencediscussion.1",-0.243963312973154,-0.371449027852897
"neuroscienceinspired.1",0.0352880453430812,-0.525402052184366
"neurosciences.1",0.184779101907853,0.40247619532634
"nonneuroscience.1",-0.0645330119719122,-0.315993653202791
"science",-0.634985980574369,0.131041235610571
"sciencebusiness",0.518787497179505,3.16551293679688
"sciencedirect",0.755336951098264,1.33088709923162
"sciencedirectcom",0.369664256140019,0.649682900523904
"sciences",0.00955273744307043,0.0140135878656747
"brain",0.173077387942857,0.314731740046013
"brainâ..computer",0.0506225143140208,0.390451938267735
"brainbased",0.232890092442179,0.176643662392778
"brainbehavior",-0.202702780434056,-0.389500259931681
"braincomputer",0.313381914956857,0.0430355927476603
"braincomputerinterfaces",1.94986188481926,15.5191131596898
"brainfunction",0.0530366267751098,0.284095501216296
"brainimaging",0.109489048549553,-0.382183870892179
"brainmachine",0.209003468953856,-0.243966569682056
"brainmachineinterface",0.755336951098264,1.33088709923162
"brainprediction",0.294327967420729,0.46479036460516
"brainreading",0.352855688050836,0.18212386963615
"brainregionspecific",-0.021238282434056,-0.278809170259721
"brains",0.0323462384973358,-0.160249147705713
"brainscanning",0.248962830725608,0.248637431538888
"brainwave",0.232414982518426,-0.158196198073797
"brainwaves",-0.0495999149476637,0.316311558826795
"consciousbrain",0.16420909853376,0.242735099241114
"marketbrain",0.0338848378919814,-0.202794111909221
"nonbrain",0.41432377519029,0.463377980210698
"computation",-0.150468301098581,-0.0678170077146948
"computational",0.0600790695855608,-0.232912349523523
"computed",0.119933897300861,-0.157927724091927
"computer",0.347687881981824,0.217195612672094
"computers",0.337015266910994,0.218864447215992
"computersmartphone",0.463571749340573,0.370890042376703
"computersupported",0.350107537685084,-0.303002569604996
"computing",0.130262972010768,0.0224128779289611
"humancomputer",0.0626630485146874,-0.301236259598573
"interface",0.252432472514289,0.0358813026159861
"interfaces",0.239880528532783,0.186607179678951
"cloud",0.0507629328144117,0.0966823144012837
"blockchain",0.0507629328144117,0.0966823144012837
"artificial",0.0433171970205547,-0.141164192152118
"intelligence",-0.00246614856156039,-0.202724983701214
"intelligent",0.187771831199036,0.0796920241874078
"brainmachine.1",0.209003468953856,-0.243966569682056
"brainmachineinterface.1",0.755336951098264,1.33088709923162
"humanâ..machine",0.186660844073603,0.0700015593490957
"humanmachine",0.133793771503244,0.0945146015505667
"machine",0.178428395593892,-0.118879300328611
"machinelearning",0.408784658743993,-0.0427614806176788
"machinerecursive",0.202655007414306,-0.0847150052552999
"machines",0.245102206234391,0.00572476208787033
"manmachine",-0.0470046996303442,-0.121091545871923
"processingâ..machine",0.306182696405754,-0.157236094483244
"deeplearning",0.799457553327186,-0.0752867826909315
"elearning",0.209112589613443,-0.102731980542922
"learn",0.0407644963132508,-0.161033162095318
"learned",0.357511484806846,0.439192886666431
"learner",0.300955637083104,-0.144888856122321
"learning",0.181993877450044,-0.112694860716296
"learningbased",1.43723297784108,0.119175576887139
"machinelearning.1",0.408784658743993,-0.0427614806176788
"mlearning",0.0975976817224922,-0.0632287824837335
"digital",0.235063497455302,0.652657340571278
"digitalized",0.207340924884982,0.338084872428839
"digitalneuro",0.36809227430256,0.289263912647776
"digitalphysical",0.36809227430256,0.289263912647776
"neurodigital",0.36809227430256,0.289263912647776
"misperception",0.296095765949344,-0.366089210367471
"perception",0.0609978083932388,-0.059183952217026
"perceptions",0.235394657544446,-0.0651538486311255
"percepts",0.456316429518866,0.460151211023473
"perceptual",0.0774836168488541,-0.140384171183602
"attitude",0.217199912302217,-0.164460281822417
"attitudes",0.0468229598917958,0.0895905608902423
"depersonalized",0.0758740087512636,-0.283164972644379
"person",0.279416242509512,0.12536111764344
"personal",0.109153699286427,-0.0192708357703696
"personalization",0.387845072210899,-0.0486144543570236
"personalized",0.291065704605599,-0.190146540069874
"personnel",0.227243087313115,0.0764356351508414
"neuropsychological",0.0438625555773678,0.0298000800740788
"neuropsychology",0.121005122085257,-0.105379729300515
"psyche",0.704675089909802,6.3222701263352
"psychiatric",0.351279172180496,0.76298232217045
"psychiatrists",0.23108969550426,0.0601579666321286
"psychiatry",0.355283234150236,0.196623392722456
"psychological",0.0875156750750153,-0.138974009614985
"psychology",-0.0351743169299688,-0.210746931435936
"psychometric",0.203532804466662,-0.0389313292874926
"psychophysics",1.43723297784108,0.119175576887137
"psychophysiological",0.169765356760982,-0.0860361465710275
"psychophysiologicalneuromarketing.1",-12.4817377485521,1.86305410958487
"psychophysiology",0.0447684031100676,-0.178207203520758
"psychotherapy",0.288570688382834,0.493514060936893
"decision",0.0242321071357217,-0.133548571900102
"decisionâ..making",-0.228785986013542,0.0843217906553249
"decisionmaking",0.0404119359107222,-0.123467337517717
"decisions",0.0201980766415446,-0.137658113750866
"cooper",0.149719756182707,0.170830923919244
"cooperate",0.294327967420729,0.46479036460516
"cooperative",0.350107537685084,-0.303002569604996
"developers",0.0275682505808158,-0.239777977696061
"operate",-0.166511050135472,-0.656480698599927
"operation",0.157858342348494,-0.0860728296032524
"operational",0.206519969224865,0.0655649186457589
"operations",0.0589992666617761,-0.121881122061536
"operator",0.155117030347103,-0.318417883496019
"operators",0.0468229598917958,0.0895905608902423
