,Min.,1st Qu.,Median,Mean,3rd Qu.,Max.,sd,Class
analysis,0,0,0,0.454545455,1,4,0.847830212,numeric
application,0,0,1,0.818181818,1,4,0.785707422,numeric
applications,0,0,0,0.5,1,3,0.792405816,numeric
approach,0,0,0,0.409090909,0,3,0.871197567,numeric
approaches,0,0,0,0.272727273,0,2,0.58523048,numeric
brain,0,0,0,0.704545455,1,7,1.439953899,numeric
clinical,0,0,0,0.363636364,1,3,0.718231325,numeric
cognitive,0,0,0,0.477272727,0,9,1.501760771,numeric
data,0,0,0,2.386363636,2,35,5.989199229,numeric
developed,0,0,0,0.25,0.25,1,0.438018795,numeric
development,0,0,0,0.5,1,3,0.849076105,numeric
field,0,0,0,0.340909091,0,3,0.713431988,numeric
human,0,0,1,0.795454545,1,7,1.192604058,numeric
information,0,0,0,0.75,1,12,1.906232129,numeric
knowledge,0,0,0,0.704545455,0,14,2.387755056,numeric
learning,0,0,0,0.545454545,1,9,1.469923989,numeric
management,0,0,1,1.159090909,1,7,1.413278916,numeric
methods,0,0,0,0.477272727,1,4,0.927327652,numeric
model,0,0,0,0.590909091,1,8,1.529830236,numeric
neuroscience,0,1,1,1.5,2,8,1.547691454,numeric
order,0,0,0,0.363636364,0.25,4,0.809562302,numeric
performance,0,0,0,0.318181818,0.25,4,0.707853857,numeric
potential,0,0,0,0.272727273,0,2,0.544043276,numeric
research,0,0,1,1.409090909,2,10,2.094490911,numeric
resource,0,0,0,0.613636364,1,6,1.016512714,numeric
resources,0,0,0,0.659090909,1,5,1.033017297,numeric
results,0,0,0,0.704545455,1,4,1.111871363,numeric
system,0,0,0,0.818181818,1,6,1.434990111,numeric
systems,0,0,0,0.295454545,0.25,2,0.553195598,numeric
techniques,0,0,0,0.318181818,0,6,0.958989955,numeric
technology,0,0,0,0.363636364,0.25,3,0.718231325,numeric
tools,0,0,0,0.272727273,0,2,0.544043276,numeric
