Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Link,Abstract,Author Keywords
Hilken T.; Chylinski M.; de Ruyter K.; Heller J.; Keeling D.I.,"Hilken, Tim (57189321073); Chylinski, Mathew (35726628700); de Ruyter, Ko (7004664517); Heller, Jonas (57197766360); Keeling, Debbie Isobel (16682898400)",57189321073; 35726628700; 7004664517; 57197766360; 16682898400,Exploring the frontiers in reality-enhanced service communication: from augmented and virtual reality to neuro-enhanced reality,2022,Journal of Service Management,33,5-Apr,,657,674,17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130221822&doi=10.1108%2fJOSM-11-2021-0439&partnerID=40&md5=1ae9973d61509df6565196d1352daf3d,"Purpose: The authors explore neuro-enhanced reality (NeR) as a novel approach for enhancing service communication between customers, frontline employees, and service organizations that extends beyond current state-of-the-art approaches based on augmented reality (AR) and virtual reality (VR) technologies. Design/methodology/approach: The authors first take stock of research on reality-enhanced service communication with AR and VR, then complement these insights with emerging neuroscientific research to conceptualize how NeR enables innovative forms of service communication. On this basis, the authors develop a research agenda to guide the future study and managerial exploitation of NeR. Findings: AR and VR already offer unique affordances for digital-to-physical communication, but these can be extended with NeR. Specifically, NeR supports neuro-to-digital and digital-to-neuro communication based on neuroimaging (e.g. controlling digital content through thought) and neurostimulation (e.g. eliciting brain responses based on digital content). This provides a basis for outlining possible applications of NeR across service settings. Originality/value: The authors advance knowledge on reality-enhanced service communication with AR and VR, whilst also demonstrating how neuroscientific research can be extended from understanding brain activity to generating novel service interactions. © 2022, Tim Hilken, Mathew Chylinski, Ko de Ruyter, Jonas Heller and Debbie Isobel Keeling.",Augmented reality; Neuro-enhanced reality; Neuromarketing; Service communication; Virtual reality
Vasco Vasco J.A.; López Aguirre J.F.; Yuquilema Pomaquero J.C.; López Salazar J.L.,"Vasco Vasco, Jorge Antonio (58561005000); López Aguirre, Jose Fernando (58526098900); Yuquilema Pomaquero, Juan Carlos (58526076100); López Salazar, José Luis (58526104700)",58561005000; 58526098900; 58526076100; 58526104700,Psychological factors of the milk consumer and the application of neuromarketing tools on visual and taste perception; [Factores psicologícos del consumidor de leche y la aplicación de herramientas de neuromarketing en la percepción visual y gustativa],2023,RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,2023,E58,,290,305,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165621079&partnerID=40&md5=1134c47aac8fde9245d395edd621e2fc,"The objective of the research was to analyze the personal factors that influence milk consumption in supermarkets in the city of Riobamba. For this purpose, an investigation is presented where aspects such as the stage of the life cycle, economic circumstances, personal characteristics, and lifestyle of each individual under study are analyzed. The study showed that the consumption of cow’s milk in Riobamba families is a matter of habit and that milk consumption provides nutrients, health benefits and human development, It was evidenced that milk consumption is linked to customs, family and health, after the survey as an experimental part to 15% of the sample with the help of an electroencephalogram (EEG) neuromarketing tool, brain waves were coded by means of performance metrics in 6 aspects: interest, attention, engagement, stress, relaxation and emotion, to a visual and gustatory stimulus. © 2023, Associacao Iberica de Sistemas e Tecnologias de Informacao. All rights reserved.",consumer behavior; electroencephalogram; neuromarketing; personal factors
Chabuda A.; Dovgialo M.; Duszyk A.; Żygierewicz J.; Pawlisz M.; Durka P.,"Chabuda, A. (57195994279); Dovgialo, M. (57205329877); Duszyk, A. (55827965400); Żygierewicz, J. (6505888829); Pawlisz, M. (57215347318); Durka, P. (6701830123)",57195994279; 57205329877; 55827965400; 6505888829; 57215347318; 6701830123,Rendering stimuli for SSVEP-BCI and attention tracking with blinker,2021,Acta Physica Polonica A,139,4,,426,431,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106979169&doi=10.12693%2fAPhysPolA.139.426&partnerID=40&md5=c0fd675150be0b3f0fc14dcd7ff1187f,"Brain-computer interfaces based on steady-state visual evoked potentials are currently the fastest systems for non-muscular communication, based directly on brain activity. Steady-state visual evoked potentials are evoked by a flashing light. Higher frequencies (above 30 Hz), preferred for safety and comfort, cannot be reliably generated on a standard computer display. In this paper, we present and verify a complete solution, based upon a previously proposed proof of concept, which allows for highlighting an arbitrary area of the screen by LEDs flickering at strictly controlled frequencies. To validate the proposed solution in the original context of non-muscular communication, we extended our previous, general study on “brain-computer interfaces illiteracy” to include 49 subjects, which resulted in a second-largest study of high frequency steady-state visual evoked potential-based brain-computer interface. In relation to the available literature on this topic, briefly reviewed in this paper, the presented results are the most promising in terms of combined percent of successful communication among users, accuracy and the significance of estimates. It suggests that the proposed approach and device are ready for applications, opening new possibilities not only in ergonomic design of brain-computer interfaces, but also in related fields like psychophysiological or neuromarketing research involving attention control, by tracing user's attention assigned to an arbitrary area of the screen. © 2021 Polish Academy of Sciences. All rights reserved.",BCI; Blinker; EEG; SSVEP
Goswami A.; Deshmukh G.K.,"Goswami, Arijit (57855675500); Deshmukh, G.K. (57200568990)",57855675500; 57200568990,Neuromarketing: Emerging trend in consumer behavior,2022,"Developing Relationships, Personalization, and Data Herald in Marketing 5.0",,,,79,87,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136524544&doi=10.4018%2f978-1-6684-4496-2.ch005&partnerID=40&md5=a26fdc78ea3f794411d17ceada0a1804,"The concept of neuromarketing is emerging in recent years. It signifies the use of research on the brain in the managerial context. Gradually this concept gained popularity in academics as well as the practical world. Neuromarketing is an evolving interdisciplinary discipline that blends psychology, neuroscience, and economics. Neuromarketing is an essential change as it gives insight into the way the subliminal mind facilitates the buyers to make decisions. The chapter focuses on studying the influence of neuromarketing tools to understand the purchasing behavior of consumers. The enhanced application of neuromarketing methods for gauging preferences of customers and making purchasing decisions will be an added benefit for both consumers and marketers. © 2022, IGI Global. All rights reserved.",
Casado-Aranda L.-A.; Sanchez-Fernandez J.,"Casado-Aranda, Luis-Alberto (57196460202); Sanchez-Fernandez, Juan (24767037100)",57196460202; 24767037100,Advances in neuroscience and marketing: analyzing tool possibilities and research opportunities,2022,Spanish Journal of Marketing - ESIC,26,1,,3,22,19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124459340&doi=10.1108%2fSJME-10-2021-0196&partnerID=40&md5=d69616ef8bad3700ce48f9b7e0b64f92,"Purpose: This study aims to illuminate the contribution of neurophysiological techniques in the field of marketing and consumer decision-making and to highlight avenues and research questions that marketing researchers can take advantage of from neuroscience and psychology to inform marketing phenomena. Methodology: The authors first reviewed the roots and definition of consumer neuroscience. Then, the authors outlined the main characteristics of the most commonly used neurophysiological tools (namely, skin conductance, facial electromyography, electrocardiogram, eye-tracking, electroencephalography, functional magnetic resonance imaging, functional near-infrared spectroscopy, magnetoencephalography and transcranial magnetic stimulation) with a special emphasis on their advantages and weaknesses. Finally, the authors propose the development of research lines that could be implemented by marketing researchers with an appropriate application and understanding of tools and theories of neuroscience and psychology. Findings: The authors propose research questions to be addressed within four thematic areas: opportunities in product decisions (predicting product purchasing decisions, consumer responses to branding efforts and packaging), pricing, communication and retailing scenarios. The authors also incorporate insights into the complementarity of neurophysiological tools to traditional ones and situations in which these tools are useful for enhancing marketing theory. The authors finally shed light on the moral–ethical criticisms of this new branch of marketing. Value: To the best of the authors’ knowledge, this research constitutes the first study in identifying the research opportunities that marketing researchers could take advantage from neuroimaging and physiological tools to inform marketing theory and practice. ©, Luis-Alberto Casado-Aranda and Juan Sanchez-Fernandez.",Ethical concerns; Marketing research; Neuromarketing; Neurophysiological tools; Research opportunities
Lee S.-E.,"Lee, Seung-Eun (7601401344)",7601401344,Teaching neuromarketing to fashion students: an application of Kirkpatrick’s model,2021,"International Journal of Fashion Design, Technology and Education",14,2,,185,193,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104067297&doi=10.1080%2f17543266.2021.1909660&partnerID=40&md5=57f75bcc37ab6eb19796a4a00f56b7a2,"The purpose of this study was twofold: identify potential topics of neuromarketing to advance fashion students’ understanding of marketing and consumer behaviour and evaluate how students’ experience and learning of neuromarketing topics. The paper describes the development and assessment of 13 learning modules in an online workshop on the topic of neuromarketing. A total of 92 students in 3 different fashion-merchandising courses completed the online workshop as part of their course requirements, and their learning outcomes were assessed based on Kirkpatrick’s model. This study determined that fashion students found learning neuromarketing to be helpful and enjoyable, and their understanding of fashion consumers was enhanced with new knowledge and ideas. The implications of this study address a broad range of neuromarketing topics that can be applied to fashion marketing and merchandising courses. © The Textile Institute and Informa UK Ltd 2021.",Fashion; Kirkpatrick model; learning; neuromarketing; teaching
Biswas A.; Mashrur F.R.; Rahman K.M.; Miya M.T.I.; Sarker F.; Mamun K.A.,"Biswas, Ananna (58281146700); Mashrur, Fazla Rabbi (57216693464); Rahman, Khandoker Mahmudur (57191348687); Miya, Mohammad Tohidul Islam (57406156400); Sarker, Farhana (24448599500); Mamun, Khondaker A. (57923621700)",58281146700; 57216693464; 57191348687; 57406156400; 24448599500; 57923621700,An Overview of Neuromarketing Research in Developing Countries: Prospects and Challenges,2022,ACM International Conference Proceeding Series,,,,149,155,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136785951&doi=10.1145%2f3542954.3542977&partnerID=40&md5=0ee9e254ddfb17c5c8d261e6cc4208db,"Neuromarketing has opened a new door in marketing research understanding behavioral economics with the help of Neuroscience. Over the past decade, Neuroscientists, Psychiatrists, Engineers, and Market-researchers have conducted several groundbreaking studies aiming to understand consumers' motivations, preferences, and decisions. However, these studies and practices are mainly based on developed countries. In this study, we outline the opportunities, real-life applications, future scenarios and shed light on the challenges faced by the researchers, marketers, and policymakers in developing countries including Bangladesh. Moreover, we have focused on the significant brain lobe involving neuromarketing research with the explanation of current technologies used in this area. We have concluded with some feasible recommendations to continue and sustain the growth of the neuromarketing field in developing countries. We expect that this study will give the directions on the inauguration of neuromarketing research in developing countries like Bangladesh that will help technologists, researchers, and marketers understand the advantages, challenges, and state-of-art of neuromarketing research.  © 2022 ACM.",Brain-computer interface; Consumer neuroscience; Machine learning; Neural recording; Neuromarketing; Pattern recognition
Blázquez-Resino J.J.; Bravo M.Á.G.,"Blázquez-Resino, Juan José (55322503200); Bravo, Miguel Ángel García (57954945000)",55322503200; 57954945000,Application of neuromarketing tools for marketing research; [APLICACIÓN DE HERRAMIENTAS DE NEUROMARKETING A LA INVESTIGACIÓN DE MERCADOS],2022,VISUAL Review. International Visual Culture Review / Revista Internacional de Cultura ,9,Monographic,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141392687&doi=10.37467%2frevvisual.v9.3581&partnerID=40&md5=f44be19bce7ec98d091eb8e332ff2f9f,"Neuromarketing has formed an emerging area capable of establishing links between the study of consumer behaviour and neuroscience, based on technological innovations and neuroimaging technologies with capacity of obtaining brain´s data. The application of neuroimaging technologies in market research has led to a new universe of action in terms of information collection. The present study aims to carry out an analysis of the different neuroimaging tools, based on a methodolo-gy of analysis of theoretical elements combined with the study of specific cases. © GKA Ediciones, authors.",Brain; Consumer; FMRi; Marketing; Neuromarketing; Neuroscience; PET
Riley J.; Randolph A.B.,"Riley, Jen (57347009500); Randolph, Adriane B. (36718087900)",57347009500; 36718087900,Leveraging NeuroIS Tools to Understand Consumer Interactions with Social Media Content,2021,Lecture Notes in Information Systems and Organisation,52 LNISO,,,56,62,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119409142&doi=10.1007%2f978-3-030-88900-5_7&partnerID=40&md5=7805d44c79f1d3083fafbbc8160fa472,"Social media has risen as one of the leading budget allocations for advertising within many firms, demonstrating its increasing dominance of the marketing mix. As such, many corporate entities have increased their presence on social media platforms in recent years. We seek to better understand the impact of non-consumer generated content on the social media user experience. This study presents the application of electroencephalography to uncover mental activity by consumers when processing social media content. This research continues from a larger study exploring how consumers process content based on the author of social media content. While this extension focuses on understanding how consumers process social media content based on the author of the post, it has implications for further studies in human-computer interaction and content optimization. © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Content generation; EEG; Neuromarketing; Social media
Verma J.; Gagandeep,"Verma, Jyoti (57855052200); Gagandeep (58401814900)",57855052200; 58401814900,Impact of augmented reality and virtual reality on customer purchase behavior in the virtual world,2023,Applications of Neuromarketing in the Metaverse,,,,258,270,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163461208&doi=10.4018%2f978-1-6684-8150-9.ch019&partnerID=40&md5=63ba9b73523aef87130b11f2ebc6d4fd,"Metaverse is opening new avenues of opportunities for product manufacturers, as well as service providers, and with this focus in mind, the present research proposes the scope and challenges that the application of Neuromarketing in virtual worlds faces across different disciplines and business segments. The immense growth potential that is currently untapped in the metaverse domain can be taken to a different level altogether with the help of neuromarketing applications. This study will analyze the impact of augmented and virtual reality on customer purchase behavior in the virtual world. The stress has been provided to understand customer purchase behavior through a framework model of consumer behavior in augmented shopping reality. The study also discusses the various challenges for customer purchase behavior in the virtual world along with the future direction for research to fill the knowledge gaps in the area under study. © 2023, IGI Global. All rights reserved.",
