"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Link","Abstract","Author Keywords"
"Hagen M.; Park S.","Hagen, Marcia (36166647100); Park, Sunyoung (57191670792)","36166647100; 57191670792","We knew it all along! Using cognitive science to explain how andragogy works","2016","European Journal of Training and Development","40","3","","171","190","19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962074366&doi=10.1108%2fEJTD-10-2015-0081&partnerID=40&md5=8f285595b00e24774e524c22e3696122","Purpose – This paper aims to link recent findings in cognitive neuroscience to better understand how andragogically informed instructional practices impact cognition and learning. Design/methodology/approach – The research questions guiding the study is in what ways can the recent findings in cognitive neuroscience help to inform adult education theory, including andragogy in particular, to deepen our understanding of how andragogical instructional principles and practices can improve learning? We adopted Torraco’s (2005) integrative literature review approach of providing enough details regarding the selection of the literature and the identification and verification of emerged themes of main ideas. Findings – The core assumptions of andragogy (self-direction, prior experience, readiness to learn and immediacy of application) have a connection to the neural networks related to memory and cognition. Research limitations/implications – First, this study provides fundamental foundations for combining cognitive neuroscience and adult learning to illuminate how cognitive neuroscience contributes physiologically to adult learning. Second, the findings in cognitive neuroscience related to the four assumptions for andragogy help to provide scientific explanations and interpretations for adult learning theories influencing human resource development (HRD), such as self-directed learning, experiential learning and role theory. Practical implications – First, HRD practitioners could use the integrative approach between andragogy and the cognitive neuroscience to reduce the issues of learning activities in generation differences. In addition, cognitive neuroscience research may contribute to improving teaching and instructional techniques. Originality/value – The contributions of this study is that it provides an integrative review about why and how anagogical principles work through the lens of cognitive neuroscience. Based on the findings, we suggested a model of adaptive cognitive neuroscience-adult learning structures. © 2016, © Emerald Group Publishing Limited.","Adult learning and education; Andragogy; Cognitive neuroscience; Management education; Readiness to learn and immediacy of application; Self-directed learning and prior experience"
"Menon S.; Bhagat V.","Menon, Sheila (57211280484); Bhagat, Vidya (56950795200)","57211280484; 56950795200","Exploring the research on neuroscience as a basis to understand work-based outcomes and to formulate new insights into the effective management of human resources in the workplace: A review study","2022","Research Journal of Pharmacy and Technology","15","8","","3814","3820","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139210517&doi=10.52711%2f0974-360X.2022.00640&partnerID=40&md5=c824d1cf89e17fc1f0aeba913a59fd0c","Neuroscience research has its origins in clinical application but is now emerging as a method to provide better understanding and insights into the cognitive-related aspects that affect people at work and in the workplace. Detailed observation highlights that not one day passes without the mass media referring to neuroscience as the solution to a variety of problems arising from non-clinical disciplines. A broad research approach into the many disciplines defined and prefixed by ""neuro"" is necessary in order to provide an in-depth understanding of the concepts that underlie such transformational disciplines as Nneuro-strategy, Neuro-leadership, Neuro-marketing, Neuro-economics, and Neuro-education. Purpose: The current study aims at determining a neuro-scientific strategy for conceptualizing healthier work outcomes based on human resource management. Methodology: This study is a qualitative study that uses secondary data from the literature and provides a descriptive analysis of the neuro-scientific approaches toward human resource management in order to predict better workplace outcomes. The method for completing the data search on the database used neuro-scientific predictions about, workers, work outcomes, neuroscientific management, and human resource management. Results and implications: The study demonstrates and intellectualises that neuro-scientific approaches would provide insights into human resource management which would bring about healthier work outcomes. The study results support the benefit of creating a structured method derived from classical methods of neuroscience in order to investigate a transformational neuroscientific approach and to better understand human responses and strengths through a neuroscientific approach. Conclusion: The study brings new insights to Human Resource Management at work that enhances the quality of Human Resource Management in the workplace. © RJPT All right reserved.","and human resource management; Neuro-scientific predictions about; neuroscientific management; work outcomes; workers"
"van Zyl L.E.; van der Vaart L.; Olckers C.","van Zyl, Llewellyn Ellardus (55956842100); van der Vaart, Leoni (55864928900); Olckers, Chantal (55957965400)","55956842100; 55864928900; 55957965400","Multidisciplinary perspectives on grit: Contemporary theories, assessments, applications and critiques","2021","Multidisciplinary Perspectives on Grit: Contemporary Theories, Assessments, Applications and Critiques","","","","1","260","259","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111079700&doi=10.1007%2f978-3-030-57389-8&partnerID=40&md5=f7c008b4ce0a51bb6c1d73135b603056","This volume provides a multi-disciplinary perspective on grit, its measurement, manifestation and development. Specifically, it provides a comprehensive and balanced response to critiques associated with the construct within the contemporary positive psychological literature. These critiques revolve around the lack of consensus in the conceptualisation, measurement, and management of grit, as well as consensus on its difference from other psychological constructs such as conscientiousness, diligence or determination. Therefore, this volume thoroughly reappraises and consolidates the nature, function, measurement and implications of grit in order to effectively advance the science of achievement. It looks at grit scales developed in various countries and evaluates the concept in various aspects of life, from work performance to sports. Written by a team of multi-disciplinary experts in fields ranging from neuroscience, sociology, and education to human resource management and psychology, this volume firmly positions grit within the discipline of positive psychology's nomological lexicon. © All rights reserved.",""
"Sharma A.; Jayakumar J.; Sankaran N.; Mitra P.P.; Chakraborti S.; Sreenivasa Kumar P.","Sharma, Ashika (57191921741); Jayakumar, Jaikishan (8525286700); Sankaran, Namrata (57226316576); Mitra, Partha P. (56775700000); Chakraborti, Sutanu (24831430300); Sreenivasa Kumar, P. (57204369664)","57191921741; 8525286700; 57226316576; 56775700000; 24831430300; 57204369664","ConnExt-BioBERT: Leveraging Transfer Learning for Brain-Connectivity Extraction from Neuroscience Articles","2021","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","12960 LNAI","","","235","244","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115871086&doi=10.1007%2f978-3-030-86993-9_22&partnerID=40&md5=872d3b9e446c6870659f53e6ac1bff7b","Study about brain connectivity provides important bio-markers for predicting brain related disorders and also for analyzing normal human functions. Findings of this study are reported in the form of neuroscience research articles. We propose a tool, ConnExt-BioBERT, to mine relevant scientific literature for curating a large resource of reported connections between regions of the brain. We have utilized the popular transfer learning technique that has been trained on large datasets, the Bidirectional Encoder Representations for Transformers (BERT) to apply it to a narrowband subject area of extracting brain regions and potential connection mentions from a set of 53,000 full-text neuroscience articles (53kNeuroFullText) indexed on PubMed. Evaluation of ConnExt-BioBERT has been performed on a benchmark dataset of abstracts and on a dataset of seven full-text articles annotated by a domain expert. Additionally, connections retrieved by the tool on 53kNeuroFullText have been evaluated using a manually curated resource, Brain Architecture Management System (BAMS). A web-application has been developed for search over extracted brain region connections on 53kNeuroFullText. This application is currently being used by neuroscience researchers to quickly retrieve brain connectivity information reported by various authors. Large scale text mining of brain-connectivity information reported in neuroscience literature, aids in progressing research in the area of neurological disorders and further helps diagnosis and treatment of the same. © 2021, Springer Nature Switzerland AG.","Brain region connectivity extraction; Machine learning; Natural language processing; Text mining"
"Lam H.Y.K.; Marenco L.; Clark T.; Gao Y.; Kinoshita J.; Shepherd G.; Miller P.; Wu E.; Wong G.T.; Liu N.; Crasto C.; Morse T.; Stephens S.; Cheung K.-H.","Lam, Hugo Y.K. (16424501800); Marenco, Luis (6602897798); Clark, Tim (36602278600); Gao, Yong (55731319600); Kinoshita, June (7101954215); Shepherd, Gordon (35270223000); Miller, Perry (7404427805); Wu, Elizabeth (14038333700); Wong, Gwendolyn T. (36603604300); Liu, Nian (55040727700); Crasto, Chiquito (6602852935); Morse, Thomas (7005748827); Stephens, Susie (55192410700); Cheung, Kei-Hoi (7402406608)","16424501800; 6602897798; 36602278600; 55731319600; 7101954215; 35270223000; 7404427805; 14038333700; 36603604300; 55040727700; 6602852935; 7005748827; 55192410700; 7402406608","AlzPharm: Integration of neurodegeneration data using RDF","2007","BMC Bioinformatics","8","SUPPL. 3","S4","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249856949&doi=10.1186%2f1471-2105-8-S3-S4&partnerID=40&md5=f938ce63053937e2a4dc7a7722fbc95b","Background: Neuroscientists often need to access a wide range of data sets distributed over the Internet. These data sets, however, are typically neither integrated nor interoperable, resulting in a barrier to answering complex neuroscience research questions. Domain ontologies can enable the querying heterogeneous data sets, but they are not sufficient for neuroscience since the data of interest commonly span multiple research domains. To this end, e-Neuroscience seeks to provide an integrated platform for neuroscientists to discover new knowledge through seamless integration of the very diverse types of neuroscience data. Here we present a Semantic Web approach to building this e-Neuroscience framework by using the Resource Description Framework (RDF) and its vocabulary description language, RDF Schema (RDFS), as a standard data model to facilitate both representation and integration of the data. Results: We have constructed a pilot ontology for BrainPharm (a subset of SenseLab) using RDFS and then converted a subset of the BrainPharm data into RDF according to the ontological structure. We have also integrated the converted BrainPharm data with existing RDF hypothesis and publication data from a pilot version of SWAN (Semantic Web Applications in Neuromedicine). Our implementation uses the RDF Data Model in Oracle Database 10g release 2 for data integration, query, and inference, while our Web interface allows users to query the data and retrieve the results in a convenient fashion. Conclusion: Accessing and integrating biomedical data which cuts across multiple disciplines will be increasingly indispensable and beneficial to neuroscience researchers. The Semantic Web approach we undertook has demonstrated a promising way to semantically integrate data sets created independently. It also shows how advanced queries and inferences can be performed over the integrated data, which are hard to achieve using traditional data integration approaches. Our pilot results suggest that our Semantic Web approach is suitable for realizing e-Neuroscience and generic enough to be applied in other biomedical fields. © 2007 Lam et al; licensee BioMed Central Ltd.",""
"Nefedov Y.; Pavlekovskaya I.; Afanasev M.","Nefedov, Yury (57204427843); Pavlekovskaya, Irina (56418419200); Afanasev, Mikhail (57216836933)","57204427843; 56418419200; 57216836933","Change in knowledge representation in the digital economy","2018","Proceedings of the European Conference on Knowledge Management, ECKM","1","","","589","594","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055535099&partnerID=40&md5=ed08bf2ee0145fed4b46124db0ffa8e8","The emergence of machine learning inevitably entails the emergence of machine knowledge. Furthermore, the rate at which the latter arises in certain cases is considerably higher than what people are accustomed to. There are both similarities and differences between human and machine knowledge, which requires an update of the concept of knowledge. The similarity that is particularly relevant for the epoch of digital economy is the decision-making process, which inevitably accompanies knowledge. In all cyclic models describing knowledge production, beginning with the Shewhart-Deming cycle (PDCA), the decision making is presented, in one way or another. At the same time, knowledge management has yet to duly adapt promising neuroscience developments that offer higher accuracy in formalization of processes that determine a human-made decision. In a digital economy, we can observe growing demands on the speed and complexity of the decisions made, as well as substantial increase of the share of decisions made by robots (autonomous algorithms). For example, in large retail networks, a human no longer interferes with the pricing decisions for the goods sold. It is currently unknown which parts of the knowledge acquired by machines are unavailable to a human. A disruption in knowledge exchange between humans and machines can be unnoticeable and would not necessarily cause a loss of knowledge at an organizational level. However, safety control in this case is to provide a guarantee against errors for new machine-made decisions. In knowledge exchange between humans, new additional feedback factors arise that reduce the risk of erroneous decisions. But similar mechanisms are not currently provided for machines. Building upon existing approaches to knowledge exchange - stock and flow approaches, - it is proposed to adopt, for knowledge management purposes, a multi-Agent approach made known, inter alia, through works of M. Wooldridge. One premise for an application of a multi-Agent approach is the definition of knowledge as a network (usually, neural) created to represent the reality and interact with it. Because networks should merge for a more accurate representation of the reality, the carriers of such networks -Agents - create an interaction environment. Application of a multi-Agent approach assumes establishment of rules at several levels. Basic level -An ""attestation"" of an agent for operations in the environment and a resolution of disputes. Level of statuses requires an agent to be in one of the conditional states for knowledge exchange. Also, the rules can define resource limits for exchange and create stimuluses for agents to perform. Finally, indicators and a monitoring system will allow to timely identify problem areas of exchange where resolution is required. © Copyright The Authors, 2018. All Rights Reserved.","Knowledge sharing; Machine knowledge; Machine learning; Multi-Agent approach; Neural network"
"Kang J.; Wang M.; Cao N.; Xia Y.; Fan W.; Tong H.","Kang, Jian (57204946315); Wang, Meijia (57207576748); Cao, Nan (18233325100); Xia, Yinglong (8939059900); Fan, Wei (7401635674); Tong, Hanghang (7201360533)","57204946315; 57207576748; 18233325100; 8939059900; 7401635674; 7201360533","AURORA: Auditing PageRank on Large Graphs","2019","Proceedings - 2018 IEEE International Conference on Big Data, Big Data 2018","","","8622563","713","722","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062601606&doi=10.1109%2fBigData.2018.8622563&partnerID=40&md5=3200db56558b39297aadff83ecb916c4","Ranking on large-scale graphs plays a fundamental role in many high-impact application domains, ranging from information retrieval, recommender systems, sports team management, biology to neuroscience and many more. PageRank, together with many of its random walk based variants, has become one of the most well-known and widely used algorithms, due to its mathematical elegance and the superior performance across a variety of application domains. Important as it might be, state-of-the-art lacks an intuitive way to explain the ranking results by PageRank (or its variants), e.g., why it thinks the returned top-k webpages are the most important ones in the entire graph; why it gives a higher rank to actor John than actor Smith in terms of their relevance w.r.t. a particular movie?In order to answer these questions, this paper proposes a paradigm shift for PageRank, from identifying which nodes are most important to understanding why the ranking algorithm gives a particular ranking result. We formally define the PageRank auditing problem, whose central idea is to identify a set of key graph elements (e.g., edges, nodes, subgraphs) with the highest influence on the ranking results. We formulate it as an opti-mization problem and propose a family of effective and scalable algorithms (Aurora) to solve it. Our algorithms measure the influence of graph elements and incrementally select influential elements w.r.t. their gradients over the ranking results. We perform extensive empirical evaluations on real-world datasets, which demonstrate that the proposed methods (Aurora) provide intuitive explanations with a linear scalability. © 2018 IEEE.","explainability; Graph mining; PageRank"
"Swanson L.W.","Swanson, Larry W. (7201491738)","7201491738","Brain maps 4.0—Structure of the rat brain: An open access atlas with global nervous system nomenclature ontology and flatmaps","2018","Journal of Comparative Neurology","526","6","","935","943","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040712120&doi=10.1002%2fcne.24381&partnerID=40&md5=d389795d7abf9efb39133fdb17068ae4","The fourth edition (following editions in 1992, 1998, 2004) of Brain maps: structure of the rat brain is presented here as an open access internet resource for the neuroscience community. One new feature is a set of 10 hierarchical nomenclature tables that define and describe all parts of the rat nervous system within the framework of a strictly topographic system devised previously for the human nervous system. These tables constitute a global ontology for knowledge management systems dealing with neural circuitry. A second new feature is an aligned atlas of bilateral flatmaps illustrating rat nervous system development from the neural plate stage to the adult stage, where most gray matter regions, white matter tracts, ganglia, and nerves listed in the nomenclature tables are illustrated schematically. These flatmaps are convenient for future development of online applications analogous to “Google Maps” for systems neuroscience. The third new feature is a completely revised Atlas of the rat brain in spatially aligned transverse sections that can serve as a framework for 3-D modeling. Atlas parcellation is little changed from the preceding edition, but the nomenclature for rat is now aligned with an emerging panmammalian neuroanatomical nomenclature. All figures are presented in Adobe Illustrator vector graphics format that can be manipulated, modified, and resized as desired, and freely used with a Creative Commons license. © 2018 The Authors The Journal of Comparative Neurology Published by Wiley Periodicals, Inc.","connectomics; gray matter; white matter"
"Bria A.; Iannello G.; Soda P.; Peng H.; Erbacci G.; Fiameni G.; Mariani G.; Mucci R.; Rorro M.; Pavone F.; Silvestri L.; Frasconi P.; Cortini R.","Bria, Alessandro (55332315800); Iannello, Giulio (6701387714); Soda, Paolo (22036116900); Peng, Hanchuan (15061795400); Erbacci, Giovanni (18934457800); Fiameni, Giuseppe (35084827400); Mariani, Giacomo (55588230400); Mucci, Roberto (57224326472); Rorro, Marco (14027361300); Pavone, Francesco (16448886200); Silvestri, Ludovico (55699024500); Frasconi, Paolo (7003350874); Cortini, Roberto (56355225100)","55332315800; 6701387714; 22036116900; 15061795400; 18934457800; 35084827400; 55588230400; 57224326472; 14027361300; 16448886200; 55699024500; 7003350874; 56355225100","A HPC infrastructure for processing and visualizing neuro-anatomical images obtained by Confocal Light Sheet Microscopy","2014","Proceedings of the 2014 International Conference on High Performance Computing and Simulation, HPCS 2014","","","6903741","592","599","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908609010&doi=10.1109%2fHPCSim.2014.6903741&partnerID=40&md5=8450fc7d00649100754e36d8d0089206","Scientific problems dealing with the processing of large amounts of data require efforts in the integration of proper services and applications to facilitate the research activity, interacting with high performance computing resources. Easier access to these resources have a profound impact on research in neuroscience, leading to advances in the management and processing of neuro-anatomical images. An ever increasing amount of data are constantly collected with a consequent demand of top-class computational resources to process them. In this paper, a HPC infrastructure for the management and the processing of neuro-anatomical images is presented, introducing the effort made to optimize and integrate specific applications in order to fully exploit the available resources. © 2014 IEEE.","Confocal Microscopy; Data; HPC; Human Brain Project; Neuroscience; Visualisation"
"Montagnat J.; Gaignard A.; Lingrand D.; Balderrama J.R.; Collet P.; Lahire P.","Montagnat, Johan (55887022200); Gaignard, Alban (25221344200); Lingrand, Diane (6506777659); Balderrama, Javier Rojas (35232577100); Collet, Philippe (8947110100); Lahire, Philippe (8706528100)","55887022200; 25221344200; 6506777659; 35232577100; 8947110100; 8706528100","NeuroLOG: A community-driven middleware design","2008","Studies in Health Technology and Informatics","138","","","49","58","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-53249099017&partnerID=40&md5=36558f9171dcaffb02245a6126a10f62","The NeuroLOG project designs an ambitious neurosciences middleware, gaining from many existing components and learning from past project experiences. It is targeting a focused application area and adopting a user-centric perspective to meet the neuroscientists expectations. It aims at fostering the adoption of HealthGrids in a pre-clinical community. This paper details the project's design study and methodology which were proposed to achieve the integration of heterogeneous site data schemas and the definition of a site-centric policy. The NeuroLOG middleware will bridge HealthGrid and local resources to match user desires to control their resources and provide a transitional model towards HealthGrids. © 2008 The authors and IOS Press. All rights reserved.","Grid computing; Medical image analysis; Neurosciences"
