"","eigenvalue","percentage of variance","cumulative percentage of variance"
"dim 1",0.482714978978805,1.86732082362852,1.86732082362852
"dim 2",0.456468410064933,1.76578934684411,3.63311017047263
"dim 3",0.443922835092766,1.71725840330579,5.35036857377842
"dim 4",0.417479425383886,1.61496547321775,6.96533404699616
"dim 5",0.397886147328231,1.53917139656848,8.50450544356464
"dim 6",0.37609171364021,1.45486243240307,9.95936787596771
"dim 7",0.370951787508035,1.43497928910632,11.394347165074
"dim 8",0.358723978917932,1.38767758395528,12.7820247490293
"dim 9",0.354193003741932,1.3701500891272,14.1521748381565
"dim 10",0.342766414065377,1.3259477963141,15.4781226344706
"dim 11",0.337140660225088,1.30418529100133,16.7823079254719
"dim 12",0.325065624173605,1.25747456677085,18.0397824922428
"dim 13",0.316181681222212,1.22310817585388,19.2628906680967
"dim 14",0.31295109159534,1.2106110553054,20.4735017234021
"dim 15",0.306847974996384,1.18700193354503,21.6605036569471
"dim 16",0.302969453768188,1.17199837291466,22.8325020298618
"dim 17",0.298305315701468,1.15395575456731,23.9864577844291
"dim 18",0.295201782980355,1.14195013732045,25.1284079217495
"dim 19",0.293636692497727,1.13589578604414,26.2643037077937
"dim 20",0.287796304340969,1.11330299547804,27.3776067032717
"dim 21",0.286722103736513,1.10914758857167,28.4867542918434
"dim 22",0.281455475157115,1.08877431315057,29.575528604994
"dim 23",0.277829509944906,1.07474773299175,30.6502763379857
"dim 24",0.269357307080299,1.04197410565465,31.6922504436404
"dim 25",0.266829988384409,1.03219749826873,32.7244479419091
"dim 26",0.263594600198015,1.01968181510978,33.7441297570189
"dim 27",0.262453817639413,1.01526884447561,34.7593986014945
"dim 28",0.260273506663659,1.00683459183314,35.7662331933276
"dim 29",0.25732683370788,0.995435766417796,36.7616689597454
"dim 30",0.253928016208038,0.982287877975232,37.7439568377206
"dim 31",0.249412414442768,0.964819853209687,38.7087766909303
"dim 32",0.244763556625322,0.946836344541757,39.6556130354721
"dim 33",0.241851119116334,0.935569954549972,40.5911829900221
"dim 34",0.239441327321254,0.926247984866991,41.5174309748891
"dim 35",0.2365460929562,0.915048143025359,42.4324791179144
"dim 36",0.233152585525181,0.901920795901211,43.3343999138156
"dim 37",0.228965089408201,0.885722005644811,44.2201219194604
"dim 38",0.226837782445083,0.877492792209412,45.0976147116698
"dim 39",0.226084060392093,0.8745771153689,45.9721918270387
"dim 40",0.221419664490417,0.856533499620178,46.8287253266589
"dim 41",0.218366854615503,0.844724097181361,47.6734494238403
"dim 42",0.213263733067231,0.824983327684722,48.498432751525
"dim 43",0.211475151655576,0.818064430488277,49.3164971820133
"dim 44",0.208622570288372,0.807029586284055,50.1235267682973
"dim 45",0.204683801179662,0.791792964475223,50.9153197327726
"dim 46",0.203529834137308,0.787328991361052,51.7026487241336
"dim 47",0.200566123264293,0.775864256953798,52.4785129810874
"dim 48",0.199181822496569,0.770509267441757,53.2490222485292
