"","Dim 1","Dim 2"
"neuroscience",0.00628228996109874,0.032915354546381
"neurosciencebased",0.000171610264213261,0.00111965061930524
"neurosciencediscussion",0.000579184457652305,0.00134266079061636
"neuroscienceinspired",4.58865460759341e-06,0.00101721719553951
"neurosciences",0.000920947346902404,0.00436927615797653
"neuroscientific",0.000307180609800316,0.00119123267936795
"neuroscientists",0.000280646713403111,1.8161916402826e-05
"nonneuroscience",1.82359260311554e-05,0.000437240790141617
"neuromarketers",1.82495777416759e-07,7.76351099491807e-05
"neuromarketing",0.0121231089618103,0.000504753403058873
"neuromarketings",0.000260835984093238,3.92042626822465e-05
"psychophysiologicalneuromarketing",0.935050371148285,0.0208322336094802
"businessconsumer",0.000159831553400408,0.000431018437336919
"consumer",0.0507438943264863,0.0153549124537807
"consumergrade",0.000802106440908777,0.000275272050552948
"consumerpreferred",0.000165241192423294,0.000980857623036751
"consumers",0.000231931849901529,0.0058698589156364
"consumerstourists",3.2920493164188e-06,0.000419865248579803
"consumerstyle",9.04016483308726e-07,0.000415058543867285
"individualconsumer",9.04016483308732e-07,0.000415058543867285
"nonconsumer",2.15994279887839e-05,0.000360440464889391
"producerconsumer",0.00016811382493017,0.000231081413232306
"performance",0.00237129800884376,0.000261663381437843
"performances",0.00206748956847881,0.0160999500390338
"outcome",1.08799647514119e-05,0.000268008933920107
"outcomes",0.000119614816307372,0.000286044727239986
"produce",2.36489889012585e-05,0.000550155563867581
"produced",0.0059784465543918,0.219664905596445
"producer",6.68298242425609e-05,0.000192669979812593
"producerconsumer.1",0.00016811382493017,0.000231081413232306
"product",0.000324760649362679,0.0049913469036019
"productbenefit",0.000279380932516782,0.00016624536254524
"production",0.000359900379907098,1.84566102413399e-05
"productive",4.39249949573164e-05,0.000210877595267476
"products",0.000483754247021825,0.00218046435614872
"productservice",8.82190868113342e-05,7.15318937024944e-05
"productspecific",8.9138614428394e-05,0.000240639824921606
"reproduced",0.000151944185610004,0.000247293690409347
"reproducibility",0.000701833437886637,0.000236104358882463
"reproduction",2.30169095935621e-06,5.31429166234786e-05
"advertisement",1.98355529351934e-06,0.000608470899620845
"advertisements",0.000883400665421317,0.00109185625596206
"advertisers",4.39718089905555e-05,0.00102141234612388
"advertising",0.000704759101295239,0.000677911052080306
"advertisingmarketing",7.2108191041896e-05,1.43283694052152e-06
"neuroadvertisiment",0.00127521973875016,0.0170398576186099
"neuroadvertising",7.54460025299454e-05,0.000174319323027436
"communicate",3.49549422307651e-05,0.000370094026852742
"communicating",0.000125534525914142,0.000517597313061258
"communication",0.00157906780162894,6.72978999308774e-05
"communications",6.2247186020518e-10,0.000359559930993745
"communicative",5.95270207007321e-06,0.000529280288547747
"communities",2.09413404427717e-05,0.000587463000269424
"community",0.00138815106699867,0.000143114123913875
"neurocommunication",3.54589145415428e-06,0.000217443565764593
"serviceâ.communication",0.000687459015873405,0.000424543230056873
"telecommunications",0.0076346789297622,0.00424048361129764
"sale",0.000159353104528298,0.000196487236249539
"sales",0.000441864856032904,0.000131952909020334
"manage",0.000472845569721268,4.07895415194831e-06
"managed",0.000221158621173182,0.000135995413615769
"management",0.00147494963706039,0.000126638576544607
"manager",0.000171912184448213,0.00145465066255111
"managerial",0.000298601609079955,1.04724770060113e-05
"managers",5.49272088385464e-06,0.000227355234052113
"manages",0.000618426492950952,0.000235838758931102
"neuromanagement",0.00158168880919888,0.0053641532570483
