"","neuromarketers","neuromarketing","neuromarketings","psychophysiologicalneuromarketing","artificial","intelligence","intelligent","brainmachine","brainmachineinterface","humanmachine","machine","machinelearning","machinerecursive","machines","manmachine","deeplearning","elearning","learning","machinelearning.1","mlearning"
"neuromarketers",0.999342336848488,0.108553613593628,-0.00418863222635665,-0.00585026946637551,-0.00671111376019593,-0.00571544966659815,-0.007205409684259,0.00100184193835256,-0.00414326185693006,0.00203899025357309,0.00130580440073582,0.0013803256225122,-0.00402308249052666,-0.00348408269451104,-0.00414326185693007,-0.00394383864302516,0.00757799274077603,-0.000765261963851217,0.0013803256225122,-0.00354279487011865
"neuromarketing",0.108553613593628,0.985886075191723,0.0747306529622339,-0.0857973567036995,0.00624057949647787,-0.00840568674776947,0.0495385535116236,-0.0196089412906851,-0.0267382647397486,-0.0115819389369223,-0.00531088947984342,0.00119910999277192,0.143180515521187,-0.028561189574748,-0.0267382647397486,0.0846122601640974,-0.00774804404884316,0.0244586378991245,0.00119910999277191,-0.0597108512687335
"neuromarketings",-0.00418863222635665,0.0747306529622339,0.999367944433854,-0.00586180852101287,-0.00476946352039125,-0.00384267097163031,-0.00726602774991109,0.000843318150172014,-0.00414674228740705,0.00171241795702365,0.000754750888113599,0.000903722603949051,-0.00401891261775417,-0.00369785578663842,-0.00414674228740705,-0.00399113766360217,0.00717195702939607,-0.0012999707182298,0.000903722603949054,-0.00356927659666038
"psychophysiologicalneuromarketing",-0.00585026946637551,-0.0857973567036995,-0.00586180852101287,0.998744710759192,0.00428436199340919,0.00520608617512102,-0.0106358857644384,0.000308507807083375,-0.00589644922839534,0.000596640628089413,-0.00199024127889949,-0.00141071390513835,-0.00567151928323079,-0.00643665269089649,-0.00589644922839534,-0.0059196579524159,0.00788908502116721,-0.00481605547487803,-0.00141071390513834,-0.00520711426702842
"artificial",-0.00671111376019593,0.00624057949647787,-0.00476946352039125,0.00428436199340918,0.00314792458701296,0.00187241560498219,-0.00520861204292683,-0.00530065595561563,0.00105547499413663,0.0104075695248688,0.00131959994495413,-6.76893089549997e-05,-0.00388416575169395,-0.00486828848567772,0.00105547499413667,-0.00821892735634396,0.0101539878050212,-0.00820293188172994,-6.76893089551437e-05,0.00262364314860339
"intelligence",-0.00571544966659815,-0.00840568674776947,-0.00384267097163031,0.00520608617512102,0.0018724156049823,0.0689040205448219,-0.00367853761483275,-0.00521319937860081,0.00177565667692358,0.00983972820184535,-0.00584736478174679,-0.000229111958706806,-0.00301495953045955,-0.00394889310156451,0.00177565667692361,-0.00718475330541119,0.00862676792270225,-4.048239480723e-05,-0.000229111958706944,0.00319102036751721
"intelligent",-0.007205409684259,0.0495385535116236,-0.00726602774991109,-0.0106358857644384,-0.00520861204292683,-0.00367853761483275,0.998224699777594,-0.0148211932708282,-0.00744785511783822,-0.0266310422177616,0.0440869904743688,0.00246277972398762,0.444429983402227,-0.0281232690515586,-0.00744785511783822,-0.01316410973564,-0.0247827594309753,-0.00218168989929138,0.00246277972398762,-0.00835660865761259
"brainmachine",0.00100184193835257,-0.0196089412906851,0.000843318150172015,0.000308507807083376,-0.00530065595561564,-0.00521319937860081,-0.0148211932708282,0.965964423910573,0.000367890540251474,-0.0681003320734712,0.0870642576362802,-1.3274006831483e-05,-0.000543344016214051,-0.048980645536735,0.000367890540251472,-0.0135049829534774,-0.0868068813406184,-0.00634288464864693,-1.32740068314956e-05,-0.00412168689943119
"brainmachineinterface",-0.00414326185693006,-0.0267382647397486,-0.00414674228740705,-0.00589644922839534,0.00105547499413664,0.00177565667692358,-0.00744785511783822,0.000367890540251474,0.999388898391355,0.000732962931832603,-0.000897710955700522,-0.000525913812148135,-0.00400641726360521,-0.0043390062619634,-0.00415720089942484,-0.00413299995971948,0.00595420266212407,-0.00290347134685116,-0.000525913812148133,-0.00364871998712368
"humanmachine",0.00203899025357309,-0.0115819389369223,0.00171241795702365,0.000596640628089411,0.0104075695248688,0.00983972820184535,-0.0266310422177616,-0.0681003320734711,0.000732962931832603,0.886915062847816,-0.0713671739043652,-0.00235979389069628,-0.000816545871068254,-0.0886944190265819,0.000732962931832599,-0.0242565952448415,0.423616956970164,-0.115857876858495,-0.0023597938906963,-0.00745597914436493
"machine",0.00130580440073582,-0.00531088947984343,0.000754750888113602,-0.00199024127889949,0.00131959994495412,-0.0058473647817468,0.0440869904743688,0.0870642576362803,-0.000897710955700525,-0.0713671739043652,0.184226618090262,0.000592910633258906,-0.00591480741188586,-0.0207941697341957,-0.000897710955700525,0.058487226335802,-0.0598918570568497,0.0432642918973705,0.000592910633258833,-0.0226014852211305
"machinelearning",0.0013803256225122,0.00119910999277193,0.000903722603949051,-0.00141071390513835,-6.76893089549997e-05,-0.000229111958706806,0.00246277972398762,-1.3274006831483e-05,-0.000525913812148135,-0.00235979389069628,0.000592910633258906,0.00255924916711725,0.00409793649162894,9.69669081644954e-05,-0.000525913812148031,0.00112699048247122,-0.00125730396069509,0.000961427549942759,0.00255924916711725,-0.000898090304838437
"machinerecursive",-0.00402308249052666,0.143180515521187,-0.00401891261775417,-0.00567151928323079,-0.00388416575169394,-0.00301495953045955,0.444429983402227,-0.00054334401621405,-0.00400641726360521,-0.000816545871068253,-0.00591480741188586,0.00409793649162894,0.999620100690215,-0.0053613169518208,-0.00400641726360521,-0.00435664278319595,0.00379363699446414,-0.007301010590128,0.00409793649162894,-0.00360991955045479
"machines",-0.00348408269451104,-0.028561189574748,-0.00369785578663842,-0.00643665269089649,-0.00486828848567772,-0.00394889310156451,-0.0281232690515586,-0.048980645536735,-0.0043390062619634,-0.0886944190265819,-0.0207941697341957,9.69669081644954e-05,-0.0053613169518208,0.952232523782184,-0.0043390062619634,-0.0225441008284102,-0.107233709433342,0.131948317832684,9.69669081644833e-05,-0.0096530968093726
"manmachine",-0.00414326185693007,-0.0267382647397486,-0.00414674228740705,-0.00589644922839534,0.00105547499413667,0.00177565667692361,-0.00744785511783822,0.000367890540251472,-0.00415720089942484,0.0007329629318326,-0.000897710955700525,-0.000525913812148031,-0.00400641726360521,-0.0043390062619634,0.999388898391355,-0.00413299995971948,0.00595420266212407,-0.00290347134685116,-0.000525913812148028,-0.00364871998712368
"deeplearning",-0.00394383864302516,0.0846122601640974,-0.00399113766360217,-0.0059196579524159,-0.00821892735634396,-0.00718475330541119,-0.01316410973564,-0.0135049829534774,-0.00413299995971948,-0.0242565952448415,0.058487226335802,0.00112699048247122,-0.00435664278319595,-0.0225441008284102,-0.00413299995971948,0.997829291170635,-0.0257803341992282,-0.0277035547152434,0.00112699048247121,-0.00525205159485833
"elearning",0.00757799274077603,-0.00774804404884316,0.00717195702939607,0.00788908502116721,0.0101539878050212,0.00862676792270226,-0.0247827594309753,-0.0868068813406183,0.00595420266212407,0.423616956970164,-0.0598918570568497,-0.00125730396069509,0.00379363699446414,-0.107233709433342,0.00595420266212407,-0.0257803341992282,0.796217648673246,-0.0572600544892777,-0.00125730396069512,-0.00504082756947204
"learning",-0.000765261963851221,0.0244586378991245,-0.0012999707182298,-0.00481605547487803,-0.00820293188172995,-4.04823948072369e-05,-0.00218168989929138,-0.00634288464864688,-0.00290347134685116,-0.115857876858495,0.0432642918973706,0.000961427549942759,-0.007301010590128,0.131948317832684,-0.00290347134685116,-0.0277035547152434,-0.0572600544892777,0.348408838156383,0.000961427549942696,0.0318713647759618
"machinelearning.1",0.0013803256225122,0.00119910999277191,0.000903722603949054,-0.00141071390513834,-6.76893089551437e-05,-0.000229111958706946,0.00246277972398762,-1.32740068314952e-05,-0.000525913812148132,-0.0023597938906963,0.000592910633258829,0.00255924916711725,0.00409793649162894,9.69669081644833e-05,-0.000525913812148028,0.00112699048247121,-0.00125730396069512,0.000961427549942693,0.00255924916711725,-0.000898090304838436
